

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

129.813  000.289  000.289: sourcing /home/tranha/.config/nvim/plugged/nerdTree/nerdtree_plugin/exec_menuitem.vim
130.969  000.440  000.440: sourcing /squashfs-root/usr/share/nvim/runtime/autoload/provider/clipboard.vim
131.541  001.686  001.246: sourcing /home/tranha/.config/nvim/plugged/nerdTree/nerdtree_plugin/fs_menu.vim
131.646  000.068  000.068: sourcing /home/tranha/.config/nvim/plugged/nerdTree/nerdtree_plugin/vcs.vim
131.906  000.126  000.126: sourcing /home/tranha/.config/nvim/plugged/nerdtree-git-plugin/autoload/gitstatus.vim
132.327  000.109  000.109: sourcing /home/tranha/.config/nvim/plugged/nerdtree-git-plugin/autoload/gitstatus/log.vim
133.165  000.070  000.070: sourcing /home/tranha/.config/nvim/plugged/nerdtree-git-plugin/autoload/gitstatus/listener.vim
133.277  001.550  001.244: sourcing /home/tranha/.config/nvim/plugged/nerdtree-git-plugin/nerdtree_plugin/git_status.vim
133.638  000.299  000.299: sourcing /home/tranha/.config/nvim/plugged/vim-devicons/nerdtree_plugin/webdevicons.vim
134.162  014.096  006.726: sourcing /home/tranha/.config/nvim/plugged/nerdTree/plugin/NERD_tree.vim
136.480  002.200  002.200: sourcing /home/tranha/.config/nvim/plugged/vim-devicons/plugin/webdevicons.vim
136.627  000.056  000.056: sourcing /home/tranha/.config/nvim/plugged/vim-nerdtree-sync/plugin/vim-nerdtree-sync.vim
136.721  000.040  000.040: sourcing /home/tranha/.config/nvim/plugged/plenary.nvim/plugin/plenary.vim
136.917  000.143  000.143: sourcing /home/tranha/.config/nvim/plugged/telescope.nvim/plugin/telescope.vim
137.312  000.335  000.335: sourcing /home/tranha/.config/nvim/plugged/vim-eunuch/plugin/eunuch.vim
137.591  000.213  000.213: sourcing /home/tranha/.config/nvim/plugged/vim-floaterm/plugin/floaterm.vim
137.780  000.121  000.121: sourcing /home/tranha/.config/nvim/plugged/nvim-lspconfig/plugin/lspconfig.vim
138.238  000.319  000.319: sourcing /home/tranha/.config/nvim/plugged/auto-pairs/plugin/auto-pairs.vim
140.760  002.451  002.451: sourcing /home/tranha/.config/nvim/plugged/nerdcommenter/plugin/nerdcommenter.vim
142.031  001.102  001.102: sourcing /home/tranha/.config/nvim/plugged/nvim-ts-autotag/plugin/nvim-ts-autotag.vim
143.023  000.772  000.772: sourcing /home/tranha/.config/nvim/plugged/vim-surround/plugin/surround.vim
144.680  001.341  001.341: sourcing /home/tranha/.config/nvim/plugged/vim-codefmt/plugin/autocmds.vim
145.558  000.826  000.826: sourcing /home/tranha/.config/nvim/plugged/vim-codefmt/plugin/commands.vim
146.213  000.620  000.620: sourcing /home/tranha/.config/nvim/plugged/vim-codefmt/plugin/mappings.vim
146.985  000.084  000.084: sourcing /home/tranha/.config/nvim/plugged/vim-maktaba/autoload/maktaba/extension.vim
147.442  000.053  000.053: sourcing /home/tranha/.config/nvim/plugged/vim-codefmt/autoload/codefmt/buildifier.vim
147.793  000.145  000.145: sourcing /home/tranha/.config/nvim/plugged/vim-codefmt/autoload/codefmt.vim
148.041  000.091  000.091: sourcing /home/tranha/.config/nvim/plugged/vim-codefmt/autoload/codefmt/clangformat.vim
148.352  000.039  000.039: sourcing /home/tranha/.config/nvim/plugged/vim-codefmt/autoload/codefmt/cljstyle.vim
148.677  000.048  000.048: sourcing /home/tranha/.config/nvim/plugged/vim-codefmt/autoload/codefmt/zprint.vim
148.986  000.050  000.050: sourcing /home/tranha/.config/nvim/plugged/vim-codefmt/autoload/codefmt/dartfmt.vim
149.288  000.039  000.039: sourcing /home/tranha/.config/nvim/plugged/vim-codefmt/autoload/codefmt/fish_indent.vim
149.589  000.052  000.052: sourcing /home/tranha/.config/nvim/plugged/vim-codefmt/autoload/codefmt/gn.vim
149.921  000.049  000.049: sourcing /home/tranha/.config/nvim/plugged/vim-codefmt/autoload/codefmt/gofmt.vim
150.235  000.047  000.047: sourcing /home/tranha/.config/nvim/plugged/vim-codefmt/autoload/codefmt/googlejava.vim
150.565  000.063  000.063: sourcing /home/tranha/.config/nvim/plugged/vim-codefmt/autoload/codefmt/jsbeautify.vim
151.051  000.102  000.102: sourcing /home/tranha/.config/nvim/plugged/vim-codefmt/autoload/codefmt/prettier.vim
151.446  000.067  000.067: sourcing /home/tranha/.config/nvim/plugged/vim-codefmt/autoload/codefmt/ktfmt.vim
151.782  000.050  000.050: sourcing /home/tranha/.config/nvim/plugged/vim-codefmt/autoload/codefmt/luaformatterfiveone.vim
152.087  000.040  000.040: sourcing /home/tranha/.config/nvim/plugged/vim-codefmt/autoload/codefmt/nixpkgs_fmt.vim
152.392  000.052  000.052: sourcing /home/tranha/.config/nvim/plugged/vim-codefmt/autoload/codefmt/autopep8.vim
152.747  000.067  000.067: sourcing /home/tranha/.config/nvim/plugged/vim-codefmt/autoload/codefmt/black.vim
153.264  000.067  000.067: sourcing /home/tranha/.config/nvim/plugged/vim-codefmt/autoload/codefmt/yapf.vim
153.587  000.056  000.056: sourcing /home/tranha/.config/nvim/plugged/vim-codefmt/autoload/codefmt/rustfmt.vim
153.928  000.055  000.055: sourcing /home/tranha/.config/nvim/plugged/vim-codefmt/autoload/codefmt/shfmt.vim
154.092  007.859  006.543: sourcing /home/tranha/.config/nvim/plugged/vim-codefmt/plugin/register.vim
154.649  000.471  000.471: sourcing /home/tranha/.config/nvim/plugged/vim-glaive/plugin/commands.vim
155.147  000.065  000.065: sourcing /home/tranha/.config/nvim/plugged/ultisnips/autoload/UltiSnips/map_keys.vim
155.227  000.520  000.455: sourcing /home/tranha/.config/nvim/plugged/ultisnips/plugin/UltiSnips.vim
155.840  000.546  000.546: sourcing /home/tranha/.config/nvim/plugged/nvim-treesitter/plugin/nvim-treesitter.vim
156.252  000.343  000.343: sourcing /home/tranha/.config/nvim/plugged/nvim-treesitter-refactor/plugin/nvim-treesitter-refactor.vim
157.025  000.109  000.109: sourcing /squashfs-root/usr/share/nvim/runtime/autoload/provider/pythonx.vim
183.505  000.282  000.282: sourcing /squashfs-root/usr/share/nvim/runtime/autoload/remote/host.vim
183.612  026.980  026.589: sourcing /squashfs-root/usr/share/nvim/runtime/autoload/provider/python3.vim
184.282  027.942  000.962: sourcing /home/tranha/.config/nvim/plugged/vimspector/plugin/vimspector.vim
186.045  001.684  001.684: sourcing /home/tranha/.config/nvim/plugged/vim-fugitive/plugin/fugitive.vim
186.512  000.378  000.378: sourcing /home/tranha/.config/nvim/plugged/vim-flog/plugin/flog.vim
186.692  000.102  000.102: sourcing /home/tranha/.config/nvim/plugged/vim-autoread/plugin/autoread.vim
187.299  000.338  000.338: sourcing /squashfs-root/usr/share/nvim/runtime/plugin/gzip.vim
187.339  000.018  000.018: sourcing /squashfs-root/usr/share/nvim/runtime/plugin/health.vim
187.536  000.179  000.179: sourcing /squashfs-root/usr/share/nvim/runtime/plugin/man.vim
188.211  000.235  000.235: sourcing /squashfs-root/usr/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
188.310  000.754  000.519: sourcing /squashfs-root/usr/share/nvim/runtime/plugin/matchit.vim
188.479  000.151  000.151: sourcing /squashfs-root/usr/share/nvim/runtime/plugin/matchparen.vim
189.080  000.581  000.581: sourcing /squashfs-root/usr/share/nvim/runtime/plugin/netrwPlugin.vim
189.261  000.147  000.147: sourcing /squashfs-root/usr/share/nvim/runtime/plugin/rplugin.vim
189.436  000.148  000.148: sourcing /squashfs-root/usr/share/nvim/runtime/plugin/shada.vim
189.489  000.025  000.025: sourcing /squashfs-root/usr/share/nvim/runtime/plugin/spellfile.vim
189.675  000.144  000.144: sourcing /squashfs-root/usr/share/nvim/runtime/plugin/tarPlugin.vim
189.797  000.093  000.093: sourcing /squashfs-root/usr/share/nvim/runtime/plugin/tohtml.vim
189.843  000.022  000.022: sourcing /squashfs-root/usr/share/nvim/runtime/plugin/tutor.vim
190.043  000.176  000.176: sourcing /squashfs-root/usr/share/nvim/runtime/plugin/zipPlugin.vim
194.765  004.253  004.253: sourcing /home/tranha/.config/nvim/plugged/nvim-cmp/plugin/cmp.lua
196.180  004.942: loading rtp plugins
196.329  000.149: loading packages
196.703  000.146  000.146: sourcing /home/tranha/.config/nvim/plugged/ultisnips/after/plugin/UltiSnips_after.vim
197.078  000.285  000.285: sourcing /home/tranha/.config/nvim/plugged/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
197.565  000.425  000.425: sourcing /home/tranha/.config/nvim/plugged/cmp-buffer/after/plugin/cmp_buffer.lua
197.875  000.246  000.246: sourcing /home/tranha/.config/nvim/plugged/cmp-path/after/plugin/cmp_path.lua
198.098  000.155  000.155: sourcing /home/tranha/.config/nvim/plugged/cmp-cmdline/after/plugin/cmp_cmdline.lua
198.587  000.013  000.013: sourcing /home/tranha/.config/nvim/plugged/ultisnips/plugin/UltiSnips.vim
198.675  000.515  000.501: sourcing /home/tranha/.config/nvim/plugged/cmp-nvim-ultisnips/after/plugin/cmp_nvim_ultisnips.lua
198.728  000.629: loading after plugins
198.747  000.018: inits 3
201.912  003.165: reading ShaDa
202.169  000.257: opening buffers
203.319  001.151: BufEnter autocommands
203.323  000.004: editing files in windows
203.760  000.437: VimEnter autocommands
203.765  000.005: UIEnter autocommands
203.768  000.004: before starting main loop
204.189  000.421: first screen update
204.193  000.004: --- NVIM STARTED ---


times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.007  000.007: --- NVIM STARTING ---
000.284  000.277: locale set
000.561  000.277: inits 1
000.581  000.020: window checked
003.571  002.990: parsing arguments
003.750  000.179: expanding arguments
003.781  000.030: inits 2
004.212  000.431: init highlight
004.213  000.001: waiting for UI
005.050  000.836: done waiting for UI
005.065  000.015: init screen for UI
005.089  000.024: init default mappings
005.188  000.098: init default autocommands
005.810  000.100  000.100: sourcing /squashfs-root/usr/share/nvim/runtime/syntax/synload.vim
015.488  009.645  009.645: sourcing /squashfs-root/usr/share/nvim/runtime/filetype.vim
016.339  000.513  000.513: sourcing /squashfs-root/usr/share/nvim/runtime/scripts.vim
016.389  011.106  000.848: sourcing /squashfs-root/usr/share/nvim/runtime/syntax/syntax.vim
016.442  000.011  000.011: sourcing /squashfs-root/usr/share/nvim/runtime/filetype.vim
016.497  000.033  000.033: sourcing /squashfs-root/usr/share/nvim/runtime/ftplugin.vim
016.549  000.027  000.027: sourcing /squashfs-root/usr/share/nvim/runtime/indent.vim
018.141  001.507  001.507: sourcing /home/tranha/.config/nvim/autoload/plug.vim
022.402  000.743  000.743: sourcing /squashfs-root/usr/share/nvim/runtime/ftoff.vim
033.247  000.021  000.021: sourcing /home/tranha/.config/nvim/plugged/ultisnips/ftdetect/snippets.vim
